world,regionx,regionz,chunkx,chunkz,timeinhabited_ticks,lastupdate_ticks,surface_y,biome_id,is_spawn,dominant_stone,has_lorestone_influence,has_witherstone_influence
minecraft:overworld,-6,0,-170,29,11442,null,,,0,,0,0
minecraft:overworld,-6,0,-170,30,32233,null,,,0,,0,0
minecraft:overworld,-6,0,-170,31,452,null,,,0,,0,0
minecraft:overworld,-6,0,-169,22,367,null,,,0,,0,0
minecraft:overworld,-6,0,-169,23,597,null,,,0,,0,0
minecraft:overworld,-6,0,-169,24,770,null,,,0,,0,0
minecraft:overworld,-6,0,-169,25,3425,null,,,0,,0,0
minecraft:overworld,-6,0,-169,26,7795,null,,,0,,0,0
minecraft:overworld,-6,0,-169,27,18474,null,,,0,,0,0
minecraft:overworld,-6,0,-169,28,13918,null,,,0,,0,0
minecraft:overworld,-6,0,-169,29,10261,null,,,0,,0,0
minecraft:overworld,-6,0,-169,30,9454,null,,,0,,0,0
minecraft:overworld,-6,0,-169,31,445,null,,,0,,0,0
minecraft:overworld,-6,0,-168,22,320,null,,,0,,0,0
minecraft:overworld,-6,0,-168,23,350,null,,,0,,0,0
minecraft:overworld,-6,0,-168,24,384,null,,,0,,0,0
minecraft:overworld,-6,0,-168,25,2189,null,,,0,,0,0
minecraft:overworld,-6,0,-168,26,5399,null,,,0,,0,0
minecraft:overworld,-6,0,-168,27,906,null,,,0,,0,0
minecraft:overworld,-6,0,-168,28,8886,null,,,0,,0,0
minecraft:overworld,-6,0,-168,29,8863,null,,,0,,0,0
minecraft:overworld,-6,0,-168,30,14409,null,,,0,,0,0
minecraft:overworld,-6,0,-168,31,440,null,,,0,,0,0
minecraft:overworld,-6,0,-167,22,262,null,,,0,,0,0
minecraft:overworld,-6,0,-167,23,3511,null,,,0,,0,0
minecraft:overworld,-6,0,-167,24,3762,null,,,0,,0,0
minecraft:overworld,-6,0,-167,25,2305,null,,,0,,0,0
minecraft:overworld,-6,0,-167,26,2493,null,,,0,,0,0
minecraft:overworld,-6,0,-167,27,1147,null,,,0,,0,0
minecraft:overworld,-6,0,-167,28,463,null,,,0,,0,0
minecraft:overworld,-6,0,-167,29,442,null,,,0,,0,0
minecraft:overworld,-6,0,-167,30,13781,null,,,0,,0,0
minecraft:overworld,-6,0,-167,31,12610,null,,,0,,0,0
minecraft:overworld,-6,0,-166,22,38483,null,,,0,,0,0
minecraft:overworld,-6,0,-166,23,3540,null,,,0,,0,0
minecraft:overworld,-6,0,-166,24,4007,null,,,0,,0,0
minecraft:overworld,-6,0,-166,25,370,null,,,0,,0,0
minecraft:overworld,-6,0,-166,26,2815,null,,,0,,0,0
minecraft:overworld,-6,0,-166,27,2886,null,,,0,,0,0
minecraft:overworld,-6,0,-166,28,481,null,,,0,,0,0
minecraft:overworld,-6,0,-166,29,466,null,,,0,,0,0
minecraft:overworld,-6,0,-166,30,10619,null,,,0,,0,0
minecraft:overworld,-6,0,-166,31,16144,null,,,0,,0,0
minecraft:overworld,-6,0,-165,22,55228,null,,,0,,0,0
minecraft:overworld,-6,0,-165,23,24333,null,,,0,,0,0
minecraft:overworld,-6,0,-165,24,8015,null,,,0,,0,0
minecraft:overworld,-6,0,-165,25,464,null,,,0,,0,0
minecraft:overworld,-6,0,-165,26,3231,null,,,0,,0,0
minecraft:overworld,-6,0,-165,27,6008,null,,,0,,0,0
minecraft:overworld,-6,0,-165,28,5746,null,,,0,,0,0
minecraft:overworld,-6,0,-165,29,534,null,,,0,,0,0
minecraft:overworld,-6,0,-165,30,25222,null,,,0,,0,0
minecraft:overworld,-6,0,-165,31,31419,null,,,0,,0,0
minecraft:overworld,-6,0,-164,22,196,null,,,0,,0,0
minecraft:overworld,-6,0,-164,23,371,null,,,0,,0,0
minecraft:overworld,-6,0,-164,24,8357,null,,,0,,0,0
minecraft:overworld,-6,0,-164,25,1347,null,,,0,,0,0
minecraft:overworld,-6,0,-164,26,12000,null,,,0,,0,0
minecraft:overworld,-6,0,-164,27,15872,null,,,0,,0,0
minecraft:overworld,-6,0,-164,28,589,null,,,0,,0,0
minecraft:overworld,-6,0,-164,29,579,null,,,0,,0,0
minecraft:overworld,-6,0,-164,30,13271,null,,,0,,0,0
minecraft:overworld,-6,0,-164,31,23675,null,,,0,,0,0
minecraft:overworld,-6,0,-163,22,4790,null,,,0,,0,0
minecraft:overworld,-6,0,-163,23,4786,null,,,0,,0,0
minecraft:overworld,-6,0,-163,24,8436,null,,,0,,0,0
minecraft:overworld,-6,0,-163,25,21356,null,,,0,,0,0
minecraft:overworld,-6,0,-163,26,11812,null,,,0,,0,0
minecraft:overworld,-6,0,-163,27,13172,null,,,0,,0,0
minecraft:overworld,-6,0,-163,28,2086,null,,,0,,0,0
minecraft:overworld,-6,0,-163,29,624,null,,,0,,0,0
minecraft:overworld,-6,0,-163,30,12695,null,,,0,,0,0
minecraft:overworld,-6,0,-163,31,14229,null,,,0,,0,0
minecraft:overworld,-6,0,-162,22,15893,null,,,0,,0,0
minecraft:overworld,-6,0,-162,23,5039,null,,,0,,0,0
minecraft:overworld,-6,0,-162,24,8361,null,,,0,,0,0
minecraft:overworld,-6,0,-162,25,328,null,,,0,,0,0
minecraft:overworld,-6,0,-162,26,9874,null,,,0,,0,0
minecraft:overworld,-6,0,-162,27,1458,null,,,0,,0,0
minecraft:overworld,-6,0,-162,28,7573,null,,,0,,0,0
minecraft:overworld,-6,0,-162,29,383,null,,,0,,0,0
minecraft:overworld,-6,0,-162,30,391,null,,,0,,0,0
minecraft:overworld,-6,0,-162,31,406,null,,,0,,0,0
minecraft:overworld,-6,0,-161,22,16909,null,,,0,,0,0
minecraft:overworld,-6,0,-161,23,5308,null,,,0,,0,0
minecraft:overworld,-6,0,-161,24,341,null,,,0,,0,0
minecraft:overworld,-6,0,-161,25,333,null,,,0,,0,0
minecraft:overworld,-6,0,-161,26,4245,null,,,0,,0,0
minecraft:overworld,-6,0,-161,27,5761,null,,,0,,0,0
minecraft:overworld,-6,0,-161,28,2714,null,,,0,,0,0
minecraft:overworld,-6,0,-161,29,4476,null,,,0,,0,0
minecraft:overworld,-6,0,-161,30,15225,null,,,0,,0,0
minecraft:overworld,-6,0,-161,31,4164,null,,,0,,0,0
minecraft:overworld,-6,1,-180,32,23527,null,,,0,,0,0
minecraft:overworld,-6,1,-180,33,27285,null,,,0,,0,0
minecraft:overworld,-6,1,-180,34,27649,null,,,0,,0,0
minecraft:overworld,-6,1,-180,35,82611,null,,,0,,0,0
minecraft:overworld,-6,1,-180,36,39340,null,,,0,,0,0
minecraft:overworld,-6,1,-180,37,28528,null,,,0,,0,0
minecraft:overworld,-6,1,-180,38,158853,null,,,0,,0,0
minecraft:overworld,-6,1,-180,39,196241,null,,,0,,0,0
minecraft:overworld,-6,1,-180,40,85065,null,,,0,,0,0
minecraft:overworld,-6,1,-180,41,81947,null,,,0,,0,0
minecraft:overworld,-6,1,-180,42,33079,null,,,0,,0,0
minecraft:overworld,-6,1,-180,43,282464,null,,,0,,0,0
minecraft:overworld,-6,1,-180,44,244009,null,,,0,,0,0
minecraft:overworld,-6,1,-180,45,97855,null,,,0,,0,0
minecraft:overworld,-6,1,-180,46,109667,null,,,0,,0,0
minecraft:overworld,-6,1,-180,47,81695,null,,,0,,0,0
minecraft:overworld,-6,1,-180,48,108192,null,,,0,,0,0
minecraft:overworld,-6,1,-180,49,4405,null,,,0,,0,0
minecraft:overworld,-6,1,-180,50,32655,null,,,0,,0,0
minecraft:overworld,-6,1,-180,51,49,null,,,0,,0,0
minecraft:overworld,-6,1,-180,52,103148,null,,,0,,0,0
minecraft:overworld,-6,1,-180,53,46365,null,,,0,,0,0
minecraft:overworld,-6,1,-180,54,28695,null,,,0,,0,0
minecraft:overworld,-6,1,-180,55,28761,null,,,0,,0,0
minecraft:overworld,-6,1,-180,56,19385,null,,,0,,0,0
minecraft:overworld,-6,1,-180,57,19985,null,,,0,,0,0
minecraft:overworld,-6,1,-180,58,18989,null,,,0,,0,0
minecraft:overworld,-6,1,-180,59,11261,null,,,0,,0,0
minecraft:overworld,-6,1,-180,60,16896,null,,,0,,0,0
minecraft:overworld,-6,1,-180,61,14566,null,,,0,,0,0
minecraft:overworld,-6,1,-180,62,2109,null,,,0,,0,0
minecraft:overworld,-6,1,-179,32,24063,null,,,0,,0,0
minecraft:overworld,-6,1,-179,33,64,null,,,0,,0,0
minecraft:overworld,-6,1,-179,34,49,null,,,0,,0,0
minecraft:overworld,-6,1,-179,35,155275,null,,,0,,0,0
minecraft:overworld,-6,1,-179,36,21474,null,,,0,,0,0
minecraft:overworld,-6,1,-179,37,47940,null,,,0,,0,0
minecraft:overworld,-6,1,-179,38,74958,null,,,0,,0,0
minecraft:overworld,-6,1,-179,39,74181,null,,,0,,0,0
minecraft:overworld,-6,1,-179,40,86075,null,,,0,,0,0
minecraft:overworld,-6,1,-179,41,101887,null,,,0,,0,0
minecraft:overworld,-6,1,-179,42,69141,null,,,0,,0,0
minecraft:overworld,-6,1,-179,43,270819,null,,,0,,0,0
minecraft:overworld,-6,1,-179,44,236858,null,,,0,,0,0
minecraft:overworld,-6,1,-179,45,220843,null,,,0,,0,0
minecraft:overworld,-6,1,-179,46,240924,null,,,0,,0,0
minecraft:overworld,-6,1,-179,47,188139,null,,,0,,0,0
minecraft:overworld,-6,1,-179,48,42513,null,,,0,,0,0
minecraft:overworld,-6,1,-179,49,106,null,,,0,,0,0
minecraft:overworld,-6,1,-179,50,90189,null,,,0,,0,0
minecraft:overworld,-6,1,-179,51,37,null,,,0,,0,0
minecraft:overworld,-6,1,-179,52,4246,null,,,0,,0,0
minecraft:overworld,-6,1,-179,53,63,null,,,0,,0,0
minecraft:overworld,-6,1,-179,54,14210,null,,,0,,0,0
minecraft:overworld,-6,1,-179,55,35098,null,,,0,,0,0
minecraft:overworld,-6,1,-179,56,16364,null,,,0,,0,0
minecraft:overworld,-6,1,-179,57,19517,null,,,0,,0,0
minecraft:overworld,-6,1,-179,58,22607,null,,,0,,0,0
minecraft:overworld,-6,1,-179,59,16795,null,,,0,,0,0
minecraft:overworld,-6,1,-179,60,16902,null,,,0,,0,0
minecraft:overworld,-6,1,-179,61,14881,null,,,0,,0,0
minecraft:overworld,-6,1,-179,62,9289,null,,,0,,0,0
minecraft:overworld,-6,1,-178,32,17195,null,,,0,,0,0
minecraft:overworld,-6,1,-178,33,19065,null,,,0,,0,0
minecraft:overworld,-6,1,-178,34,69,null,,,0,,0,0
minecraft:overworld,-6,1,-178,35,5532,null,,,0,,0,0
minecraft:overworld,-6,1,-178,36,22017,null,,,0,,0,0
minecraft:overworld,-6,1,-178,37,49370,null,,,0,,0,0
minecraft:overworld,-6,1,-178,38,139870,null,,,0,,0,0
minecraft:overworld,-6,1,-178,39,143982,null,,,0,,0,0
minecraft:overworld,-6,1,-178,40,60751,null,,,0,,0,0
minecraft:overworld,-6,1,-178,41,66956,null,,,0,,0,0
minecraft:overworld,-6,1,-178,42,41161,null,,,0,,0,0
minecraft:overworld,-6,1,-178,43,161807,null,,,0,,0,0
minecraft:overworld,-6,1,-178,44,197242,null,,,0,,0,0
minecraft:overworld,-6,1,-178,45,240126,null,,,0,,0,0
minecraft:overworld,-6,1,-178,46,228481,null,,,0,,0,0
minecraft:overworld,-6,1,-178,47,251074,null,,,0,,0,0
minecraft:overworld,-6,1,-178,48,3496,null,,,0,,0,0
minecraft:overworld,-6,1,-178,49,103,null,,,0,,0,0
minecraft:overworld,-6,1,-178,50,29,null,,,0,,0,0
minecraft:overworld,-6,1,-178,51,21,null,,,0,,0,0
minecraft:overworld,-6,1,-178,52,16,null,,,0,,0,0
minecraft:overworld,-6,1,-178,53,68,null,,,0,,0,0
minecraft:overworld,-6,1,-178,54,39835,null,,,0,,0,0
minecraft:overworld,-6,1,-178,55,24583,null,,,0,,0,0
minecraft:overworld,-6,1,-178,56,33182,null,,,0,,0,0
minecraft:overworld,-6,1,-178,57,29833,null,,,0,,0,0
minecraft:overworld,-6,1,-178,58,25324,null,,,0,,0,0
minecraft:overworld,-6,1,-178,59,18930,null,,,0,,0,0
minecraft:overworld,-6,1,-178,60,15102,null,,,0,,0,0
minecraft:overworld,-6,1,-178,61,11995,null,,,0,,0,0
minecraft:overworld,-6,1,-178,62,0,null,,,0,,0,0
minecraft:overworld,-6,1,-177,32,5942,null,,,0,,0,0
minecraft:overworld,-6,1,-177,33,20986,null,,,0,,0,0
minecraft:overworld,-6,1,-177,34,97,null,,,0,,0,0
minecraft:overworld,-6,1,-177,35,7691,null,,,0,,0,0
minecraft:overworld,-6,1,-177,36,19804,null,,,0,,0,0
minecraft:overworld,-6,1,-177,37,23876,null,,,0,,0,0
minecraft:overworld,-6,1,-177,38,136925,null,,,0,,0,0
minecraft:overworld,-6,1,-177,39,134811,null,,,0,,0,0
minecraft:overworld,-6,1,-177,40,56342,null,,,0,,0,0
minecraft:overworld,-6,1,-177,41,47702,null,,,0,,0,0
minecraft:overworld,-6,1,-177,42,100336,null,,,0,,0,0
minecraft:overworld,-6,1,-177,43,183631,null,,,0,,0,0
minecraft:overworld,-6,1,-177,44,251590,null,,,0,,0,0
minecraft:overworld,-6,1,-177,45,230270,null,,,0,,0,0
minecraft:overworld,-6,1,-177,46,190913,null,,,0,,0,0
minecraft:overworld,-6,1,-177,47,153109,null,,,0,,0,0
minecraft:overworld,-6,1,-177,48,34763,null,,,0,,0,0
minecraft:overworld,-6,1,-177,49,13576,null,,,0,,0,0
minecraft:overworld,-6,1,-177,50,49634,null,,,0,,0,0
minecraft:overworld,-6,1,-177,51,21,null,,,0,,0,0
minecraft:overworld,-6,1,-177,52,15,null,,,0,,0,0
minecraft:overworld,-6,1,-177,53,82,null,,,0,,0,0
minecraft:overworld,-6,1,-177,54,4322,null,,,0,,0,0
minecraft:overworld,-6,1,-177,55,20348,null,,,0,,0,0
minecraft:overworld,-6,1,-177,56,41761,null,,,0,,0,0
minecraft:overworld,-6,1,-177,57,32139,null,,,0,,0,0
minecraft:overworld,-6,1,-177,58,23874,null,,,0,,0,0
minecraft:overworld,-6,1,-177,59,21848,null,,,0,,0,0
minecraft:overworld,-6,1,-177,60,12524,null,,,0,,0,0
minecraft:overworld,-6,1,-177,61,0,null,,,0,,0,0
minecraft:overworld,-6,1,-177,62,13185,null,,,0,,0,0
minecraft:overworld,-6,1,-176,32,480,null,,,0,,0,0
minecraft:overworld,-6,1,-176,33,263,null,,,0,,0,0
minecraft:overworld,-6,1,-176,34,58221,null,,,0,,0,0
minecraft:overworld,-6,1,-176,35,122806,null,,,0,,0,0
minecraft:overworld,-6,1,-176,36,16052,null,,,0,,0,0
minecraft:overworld,-6,1,-176,37,21603,null,,,0,,0,0
minecraft:overworld,-6,1,-176,38,28074,null,,,0,,0,0
minecraft:overworld,-6,1,-176,39,124793,null,,,0,,0,0
minecraft:overworld,-6,1,-176,40,262744,null,,,0,,0,0
minecraft:overworld,-6,1,-176,41,190018,null,,,0,,0,0
minecraft:overworld,-6,1,-176,42,134859,null,,,0,,0,0
minecraft:overworld,-6,1,-176,43,169674,null,,,0,,0,0
minecraft:overworld,-6,1,-176,44,131508,null,,,0,,0,0
minecraft:overworld,-6,1,-176,45,133839,null,,,0,,0,0
minecraft:overworld,-6,1,-176,46,98785,null,,,0,,0,0
minecraft:overworld,-6,1,-176,47,159976,null,,,0,,0,0
minecraft:overworld,-6,1,-176,48,74299,null,,,0,,0,0
minecraft:overworld,-6,1,-176,49,108643,null,,,0,,0,0
minecraft:overworld,-6,1,-176,50,227262,null,,,0,,0,0
minecraft:overworld,-6,1,-176,51,31797,null,,,0,,0,0
minecraft:overworld,-6,1,-176,52,22,null,,,0,,0,0
minecraft:overworld,-6,1,-176,53,33712,null,,,0,,0,0
minecraft:overworld,-6,1,-176,54,26004,null,,,0,,0,0
minecraft:overworld,-6,1,-176,55,63394,null,,,0,,0,0
minecraft:overworld,-6,1,-176,56,49458,null,,,0,,0,0
minecraft:overworld,-6,1,-176,57,8758,null,,,0,,0,0
minecraft:overworld,-6,1,-176,58,3218,null,,,0,,0,0
minecraft:overworld,-6,1,-176,59,23804,null,,,0,,0,0
minecraft:overworld,-6,1,-176,60,20446,null,,,0,,0,0
minecraft:overworld,-6,1,-176,61,11061,null,,,0,,0,0
minecraft:overworld,-6,1,-176,62,17656,null,,,0,,0,0
minecraft:overworld,-6,1,-175,32,4315,null,,,0,,0,0
minecraft:overworld,-6,1,-175,33,478,null,,,0,,0,0
minecraft:overworld,-6,1,-175,34,4853,null,,,0,,0,0
minecraft:overworld,-6,1,-175,35,57932,null,,,0,,0,0
minecraft:overworld,-6,1,-175,36,15374,null,,,0,,0,0
minecraft:overworld,-6,1,-175,37,21022,null,,,0,,0,0
minecraft:overworld,-6,1,-175,38,35749,null,,,0,,0,0
minecraft:overworld,-6,1,-175,39,21197,null,,,0,,0,0
minecraft:overworld,-6,1,-175,40,45432,null,,,0,,0,0
minecraft:overworld,-6,1,-175,41,203511,null,,,0,,0,0
minecraft:overworld,-6,1,-175,42,212072,null,,,0,,0,0
minecraft:overworld,-6,1,-175,43,147619,null,,,0,,0,0
minecraft:overworld,-6,1,-175,44,187320,null,,,0,,0,0
minecraft:overworld,-6,1,-175,45,101017,null,,,0,,0,0
minecraft:overworld,-6,1,-175,46,43258,null,,,0,,0,0
minecraft:overworld,-6,1,-175,47,175809,null,,,0,,0,0
minecraft:overworld,-6,1,-175,48,116411,null,,,0,,0,0
minecraft:overworld,-6,1,-175,49,75550,null,,,0,,0,0
minecraft:overworld,-6,1,-175,50,75290,null,,,0,,0,0
minecraft:overworld,-6,1,-175,51,52082,null,,,0,,0,0
minecraft:overworld,-6,1,-175,52,8483,null,,,0,,0,0
minecraft:overworld,-6,1,-175,53,12661,null,,,0,,0,0
minecraft:overworld,-6,1,-175,54,81647,null,,,0,,0,0
minecraft:overworld,-6,1,-175,55,43313,null,,,0,,0,0
minecraft:overworld,-6,1,-175,56,30903,null,,,0,,0,0
minecraft:overworld,-6,1,-175,57,18732,null,,,0,,0,0
minecraft:overworld,-6,1,-175,58,0,null,,,0,,0,0
minecraft:overworld,-6,1,-175,59,20464,null,,,0,,0,0
minecraft:overworld,-6,1,-175,60,20124,null,,,0,,0,0
minecraft:overworld,-6,1,-175,61,11270,null,,,0,,0,0
minecraft:overworld,-6,1,-175,62,20026,null,,,0,,0,0
minecraft:overworld,-6,1,-174,32,85892,null,,,0,,0,0
minecraft:overworld,-6,1,-174,33,121151,null,,,0,,0,0
minecraft:overworld,-6,1,-174,34,12650,null,,,0,,0,0
minecraft:overworld,-6,1,-174,35,12836,null,,,0,,0,0
minecraft:overworld,-6,1,-174,36,132628,null,,,0,,0,0
minecraft:overworld,-6,1,-174,37,155011,null,,,0,,0,0
minecraft:overworld,-6,1,-174,38,176704,null,,,0,,0,0
minecraft:overworld,-6,1,-174,39,135874,null,,,0,,0,0
minecraft:overworld,-6,1,-174,40,128722,null,,,0,,0,0
minecraft:overworld,-6,1,-174,41,120345,null,,,0,,0,0
minecraft:overworld,-6,1,-174,42,139444,null,,,0,,0,0
minecraft:overworld,-6,1,-174,43,165460,null,,,0,,0,0
minecraft:overworld,-6,1,-174,44,222060,null,,,0,,0,0
minecraft:overworld,-6,1,-174,45,187037,null,,,0,,0,0
minecraft:overworld,-6,1,-174,46,219390,null,,,0,,0,0
minecraft:overworld,-6,1,-174,47,336280,null,,,0,,0,0
minecraft:overworld,-6,1,-174,48,136242,null,,,0,,0,0
minecraft:overworld,-6,1,-174,49,231553,null,,,0,,0,0
minecraft:overworld,-6,1,-174,50,73147,null,,,0,,0,0
minecraft:overworld,-6,1,-174,51,47466,null,,,0,,0,0
minecraft:overworld,-6,1,-174,52,35427,null,,,0,,0,0
minecraft:overworld,-6,1,-174,53,110355,null,,,0,,0,0
minecraft:overworld,-6,1,-174,54,111763,null,,,0,,0,0
minecraft:overworld,-6,1,-174,55,24,null,,,0,,0,0
minecraft:overworld,-6,1,-174,56,21,null,,,0,,0,0
minecraft:overworld,-6,1,-174,57,14,null,,,0,,0,0
minecraft:overworld,-6,1,-174,58,25337,null,,,0,,0,0
minecraft:overworld,-6,1,-174,59,28930,null,,,0,,0,0
minecraft:overworld,-6,1,-174,60,25694,null,,,0,,0,0
minecraft:overworld,-6,1,-174,61,240,null,,,0,,0,0
minecraft:overworld,-6,1,-174,62,34515,null,,,0,,0,0
minecraft:overworld,-6,1,-173,32,21057,null,,,0,,0,0
minecraft:overworld,-6,1,-173,33,53147,null,,,0,,0,0
minecraft:overworld,-6,1,-173,34,11196,null,,,0,,0,0
minecraft:overworld,-6,1,-173,35,4051,null,,,0,,0,0
